t; x; y; theta
71955471.681000; -0.40; 0.00; -30.11
71970621.005000; -0.40; 0.00; -30.11
71989420.506000; -0.40; 0.00; -30.11
72003288.064000; -0.40; 0.00; -30.11
72021081.556000; -0.40; 0.00; -30.11
72034593.227000; -0.40; 0.00; -30.11
72052490.756000; -0.40; 0.00; -30.11
72068553.494000; -0.40; 0.00; -30.11
72082726.573000; -0.40; 0.00; -30.11
72100148.563000; -0.40; 0.00; -30.11
72116425.991000; -0.40; 0.00; -30.11
72130485.544000; -0.40; 0.00; -30.11
72146623.680000; -0.40; 0.00; -30.11
72162544.038000; -0.40; 0.00; -30.11
72178604.646000; -0.40; 0.00; -30.11
72195179.291000; -0.40; 0.00; -30.11
72212541.811000; -0.40; 0.00; -30.11
72226582.901000; -0.40; 0.00; -30.11
72244219.678000; -0.40; 0.00; -30.11
72265165.104000; -0.40; 0.00; -30.11
72275203.694000; -0.40; 0.00; -30.11
72291081.151000; -0.40; 0.00; -30.11
72307183.369000; -0.40; 0.00; -30.11
72323219.621000; -0.40; 0.00; -30.11
72338647.862000; -0.40; 0.00; -30.11
72355137.843000; -0.40; 0.00; -30.11
72371756.805000; -0.40; 0.00; -30.11
72386741.086000; -0.40; 0.00; -30.11
72404014.294000; -0.40; 0.00; -30.11
72420059.128000; -0.40; 0.00; -30.11
72436282.433000; -0.40; 0.00; -30.11
72452847.462000; -0.40; 0.00; -30.11
72467672.271000; -0.40; 0.00; -30.11
72482765.687000; -0.40; 0.00; -30.11
72500059.492000; -0.40; 0.00; -30.11
72514878.700000; -0.40; 0.00; -30.11
72530705.489000; -0.40; 0.00; -30.11
72547751.497000; -0.40; 0.00; -30.11
72565589.081000; -0.40; 0.00; -30.11
72578951.003000; -0.40; 0.00; -30.11
72594618.222000; -0.40; 0.00; -30.11
72610501.727000; -0.40; 0.00; -30.11
72626767.703000; -0.40; 0.00; -30.11
72643544.074000; -0.40; 0.00; -30.11
72658739.483000; -0.40; 0.00; -30.11
72675187.405000; -0.40; 0.00; -30.11
72691637.309000; -0.40; 0.00; -30.11
72706478.754000; -0.40; 0.00; -30.11
72722829.055000; -0.40; 0.00; -30.11
72738792.784000; -0.40; 0.00; -30.11
72755447.180000; -0.40; 0.00; -30.11
72771466.460000; -0.40; 0.00; -30.11
72787806.802000; -0.40; 0.00; -30.11
72802531.687000; -0.40; 0.00; -30.11
72820503.156000; -0.40; 0.00; -30.11
72834661.649000; -0.40; 0.00; -30.11
72851113.620000; -0.40; 0.00; -30.11
72867149.561000; -0.40; 0.00; -30.11
72884820.340000; -0.40; 0.00; -30.11
72900574.893000; -0.40; 0.00; -30.11
72914651.165000; -0.40; 0.00; -30.11
72930598.034000; -0.40; 0.00; -30.11
72946564.720000; -0.40; 0.00; -30.11
72962703.188000; -0.40; 0.00; -30.11
72993026.791000; -0.40; 0.00; -29.55
73008085.097000; -0.40; 0.00; -28.13
73020775.933000; -0.40; 0.00; -27.13
73029712.679000; -0.40; 0.00; -26.43
73044699.937000; -0.40; 0.00; -25.21
73059030.448000; -0.40; 0.00; -24.06
73080072.406000; -0.40; 0.00; -22.40
73096346.015000; -0.40; 0.00; -21.11
73113206.548000; -0.40; 0.00; -19.87
73126197.743000; -0.40; 0.00; -18.80
73138510.926000; -0.40; 0.00; -17.83
73154649.153000; -0.40; 0.00; -16.52
73172181.928000; -0.40; 0.00; -15.11
73187439.715000; -0.40; 0.00; -13.99
73205710.642000; -0.40; 0.00; -12.45
73221462.209000; -0.40; 0.00; -11.26
73234558.552000; -0.40; 0.00; -10.25
73252473.712000; -0.40; 0.00; -8.74
73281301.974000; -0.40; 0.00; -6.44
73298895.906000; -0.40; 0.00; -5.05
73306495.422000; -0.40; 0.00; -4.49
73316106.774000; -0.40; 0.00; -3.75
73333002.729000; -0.40; 0.00; -2.35
73346874.710000; -0.40; 0.00; -1.28
73363187.369000; -0.40; 0.00; -0.07
73382577.833000; -0.40; 0.00; 1.56
73394541.489000; -0.40; 0.00; 2.47
73410514.171000; -0.40; 0.00; 3.72
73426619.852000; -0.40; 0.00; 5.04
73442924.364000; -0.40; 0.00; 6.23
73459363.502000; -0.40; 0.00; 7.66
73476214.148000; -0.40; 0.00; 9.00
73492191.281000; -0.40; 0.00; 10.27
73506886.648000; -0.40; 0.00; 11.44
73526693.423000; -0.40; 0.00; 12.85
73545920.496000; -0.40; 0.00; 14.52
73561683.766000; -0.40; 0.00; 15.70
73575766.569000; -0.40; 0.00; 16.89
73587886.458000; -0.40; 0.00; 17.85
73603098.238000; -0.40; 0.00; 19.07
